article_id,topic_id
78158,0
78162,0
78163,0
78165,0
78166,0
78167,0
78169,0
78170,0
78172,0
78174,0
78175,0
78176,0
78177,0
78179,0
78181,0
78182,0
78183,0
78184,0
78187,0
78190,0
78191,0
78193,0
78194,0
78195,0
78197,0
78198,0
78199,0
78200,0
78202,0
78204,0
78205,0
78208,0
78209,0
78210,0
78211,0
78212,0
78213,0
78214,0
78215,0
78217,0
78220,0
78222,0
78223,0
78224,0
78225,0
78227,0
78228,0
78229,0
78231,0
78232,0
78234,0
78235,0
78236,0
78237,0
78239,0
78242,0
78244,0
78247,0
78250,0
78251,0
78252,0
78254,0
78256,0
78257,0
78259,0
78261,0
78262,0
78264,0
78265,0
78267,0
78271,0
78273,0
78274,0
78276,0
78277,0
78279,0
78339,0
78340,0
78341,0
78342,0
78343,0
78345,0
89052,2
89053,2
89054,2
89055,2
89056,2
89057,2
89058,2
89059,2
89060,2
89061,2
89062,2
89063,2
89064,2
89065,2
89066,2
89067,2
89068,2
89069,2
89070,2
89071,2
89072,2
89073,2
89074,2
89075,2
89076,2
89077,2
89085,2
89086,2
89087,2
89088,2
89089,2
89090,2
89091,2
89092,2
92957,1
99627,2
99628,2
99629,2
99630,2
99631,2
99632,2
99633,2
99634,2
99635,2
99636,2
99637,2
99638,2
99639,2
99640,2
99641,2
99642,2
99643,2
99644,2
99645,2
99646,2
99647,2
99648,2
99649,2
99650,2
99651,2
99652,2
99653,2
99654,2
99655,2
99656,2
99657,2
99658,2
99659,2
99660,2
99661,2
99662,2
99663,2
99664,2
99665,2
99667,2
99669,2
99670,2
99671,2
99672,2
99676,2
99677,2
99678,2
99681,2
99683,2
99684,2
99686,2
99690,2
99691,2
99692,2
99693,2
99695,2
99696,2
99698,2
99699,2
99949,2
99950,2
99951,2
99952,2
99953,2
99954,2
103469,2
103477,2
103478,2
103480,2
103483,2
103485,2
103487,2
103489,2
103490,2
103492,2
103493,2
103495,2
103496,2
103497,2
103498,2
103499,2
103500,2
103502,2
103504,2
103506,2
103507,2
103509,2
103511,2
103515,2
103516,2
103517,2
103519,2
103521,2
103523,2
103526,2
103527,2
103528,2
103532,2
103535,2
103537,2
103539,2
103541,2
103542,2
103543,2
103544,2
103546,2
103549,2
103551,2
103560,2
103562,2
103563,2
103564,2
103565,2
103566,2
103591,2
103592,2
103593,2
103594,2
103595,2
103596,2
103597,2
103598,2
103599,2
103600,2
103601,2
103602,2
105537,1
105538,1
105539,1
105540,1
105541,1
105542,1
105543,1
105544,1
105545,1
105546,1
105547,1
105548,1
105549,1
105550,1
105551,1
105552,1
105553,1
105554,1
105555,1
105556,1
105557,1
105558,1
105559,1
105560,1
105561,1
105562,1
105563,1
