author_id_1,author_id_2,n_colab
31,144466,1
31,425259,1
31,762633,1
171,251132,1
216,909247,2
662,591237,1
662,1066802,1
662,1391082,1
662,1506336,1
662,1537749,1
662,1539958,1
674,631384,1
674,770144,1
674,1710547,1
677,814,1
677,42700,1
677,210628,1
677,219411,1
677,341209,5
677,468306,1
677,478885,2
677,493261,1
677,625964,2
677,838459,2
677,901706,3
677,977394,1
677,1187907,2
677,1244103,2
704,1154238,2
704,1654970,2
737,299714,1
737,492093,1
737,908625,1
814,901706,1
968,198281,1
968,754354,1
968,840674,1
968,858144,1
968,1117163,1
968,1463385,1
968,1466400,2
968,1493922,1
968,1539589,1
986,384953,1
986,839346,1
986,952816,1
999,350809,1
999,427141,1
999,441173,1
999,623521,1
999,697010,1
1115,318275,1
1115,419227,1
1115,1618546,1
1329,131871,1
1329,1337881,1
1355,1045802,1
1359,614954,1
1359,1029998,1
1359,1182134,1
1359,1225163,1
1359,1361320,1
1359,1395982,1
1359,1412785,1
1359,1657108,1
1485,158042,1
1708,106610,1
1708,113255,1
1708,250986,1
1708,519176,1
1708,957854,1
1708,1026691,1
1708,1043418,1
1708,1082919,1
1708,1110214,1
1708,1366752,1
1708,1636808,1
1857,1080209,1
1882,254716,1
1882,1034220,1
1882,1166377,1
1882,1220788,1
1888,143442,1
1888,471689,1
1888,1541662,1
1985,660964,1
1985,737695,1
1985,974551,1
1985,1228895,1
1989,42849,1
1989,208818,1
1989,1654628,1
2161,324959,1
2307,1017071,1
2307,1154201,1
2483,758903,1
2483,842185,1
2483,1622609,1
2588,305175,1
2588,476222,1
2588,1604728,1
2636,471730,1
2636,1261442,1
2849,35450,1
2849,282083,1
2849,1302047,1
2849,1422388,1
2918,45188,1
2918,1206693,1
3056,1709689,1
3147,602238,1
3147,1134069,1
3164,26099,1
3164,705460,1
3164,850894,1
3440,1269144,1
3546,433798,1
3546,1538018,1
3546,1664981,1
4056,263620,1
4056,809060,1
4056,945384,1
4056,1250392,1
4056,1661561,1
4510,101388,1
4510,913362,1
4510,1225163,1
4832,1234342,2
4832,1272502,1
4863,457747,1
4863,571289,1
4863,602568,1
4863,1195050,2
4863,1243776,1
4863,1258634,3
4863,1261483,2
4863,1520532,1
4863,1608725,1
4971,124786,1
4971,534596,1
4971,752050,1
4971,1324356,1
4971,1346180,1
5148,450172,2
5148,1320735,1
5427,1113954,2
5427,1440604,2
5533,304248,1
5533,462805,1
5738,610748,1
5738,884535,1
5738,895399,1
5738,938656,1
5965,25329,1
5965,251132,1
5992,1155786,1
5992,1697170,2
6103,66456,1
6103,263100,1
6103,388088,1
6287,389838,1
6287,1135502,1
6287,1328730,1
7003,201745,2
7003,478930,1
7003,957685,1
7003,1044902,1
7003,1397672,1
7163,934414,1
7163,1104345,1
7283,11540,1
7283,1508935,1
7321,1013803,1
7321,1630460,1
7519,365844,1
7519,695932,1
7519,945618,1
8307,440936,1
8307,680165,1
8307,753465,1
8307,850650,1
8307,1018652,1
8307,1370992,1
8379,444515,1
8729,454926,1
8729,618577,1
8729,1122731,1
8729,1604728,1
8871,210915,1
8871,417010,1
8871,463242,1
8871,481403,1
8871,771614,1
8871,822317,1
